Average Stock,Business Segment,Business Type,Lead Behaviour Profile,Lead Type,Mql Id,Sdr Id,Seller Id (Closed Deals),Sr Id,Won Date,Won Date1,Won Month,Won Year,Declared Monthly Revenue,Declared Product Catalog Size,Has Company,Has Gtin
,pet,reseller,cat,online_medium,5420aad7fec3549a85876ba1c529bd84,a8387c01a09e99ce014107505b92388c,2c43fb513632d29b3b58df74816f1b06,4ef15afb4b2723d8f3d81e51ec7afefe,2/26/2018 8:58:54 PM,"February 26, 2018",February 2018,2018,0,,,
,car_accessories,reseller,eagle,industry,a555fb36b9368110ede0f043dfc3b9a0,09285259593c61296eef10c734121d5b,bbb7d7893a450660432ea6652310ebb7,d3d1e91a157ea7f90548eef82f1955e3,5/8/2018 10:17:59 PM,"May 8, 2018",May 2018,2018,0,,,
,home_appliances,reseller,cat,online_big,327174d3648a2d047e8940d7d15204ca,b90f87164b5f8c2cfa5c8572834dbe3f,612170e34b97004b3ba37eae81836b4c,6565aa9ce3178a5caf6171827af3a9ba,6/5/2018 7:27:23 PM,"June 5, 2018",June 2018,2018,0,,,
,food_drink,reseller,,online_small,f5fee8f7da74f4887f5bcae2bafb6dd6,56bf83c4bb35763a51c2baab501b4c67,21e1781e36faf92725dde4730a88ca0f,d3d1e91a157ea7f90548eef82f1955e3,1/17/2018 2:51:03 PM,"January 17, 2018",January 2018,2018,0,,,
,home_appliances,manufacturer,wolf,industry,ffe640179b554e295c167a2f6be528e0,4b339f9567d060bcea4f5136b9f5949e,ed8cb7b190ceb6067227478e48cf8dde,d3d1e91a157ea7f90548eef82f1955e3,7/3/2018 10:17:45 PM,"July 3, 2018",July 2018,2018,0,,,
,health_beauty,manufacturer,,online_medium,b94fba7670eeb44dce2a0d8eb790e9f5,fdb16d3cbbeb5798f2f66c4096be026d,1c742ac33582852aaf3bcfbf5893abcf,495d4e95a8cf8bbf8b432b612a2aa328,2/7/2018 7:04:05 PM,"February 7, 2018",February 2018,2018,0,,,
,computers,reseller,wolf,online_medium,c3e30ed7ac989117c7e1e719b4ac128f,4b339f9567d060bcea4f5136b9f5949e,92d7568ad0c5c76fd7d341b2d46f24d6,85fc447d336637ba1df43e793199fbc8,4/16/2018 8:18:22 PM,"April 16, 2018",April 2018,2018,0,,,
,health_beauty,manufacturer,cat,offline,b02c89251106e1fdd9d92744be9f94f2,34d40cdaf94010a1d05b0d6212f9e909,44ed138eca6214d572ce1d813fb0049b,4ef15afb4b2723d8f3d81e51ec7afefe,4/17/2018 7:01:57 PM,"April 17, 2018",April 2018,2018,0,,,
,household_utilities,reseller,eagle,offline,a90a37898cc5f2718385a2fb981caaff,f42a2bd194f7802ab052a815c8de65b7,0b28859cd04d23edefee9c591fb03cd8,6565aa9ce3178a5caf6171827af3a9ba,5/14/2018 8:37:15 PM,"May 14, 2018",May 2018,2018,0,,,
,household_utilities,manufacturer,eagle,online_medium,0173e8d8b1d94a355b440fb67388f532,9d12ef1a7eca3ec58c545c678af7869c,87d73636a3acf123e842bb890a4db036,9e4d1098a3b0f5da39b0bc48f9876645,4/24/2018 5:00:00 AM,"April 24, 2018",April 2018,2018,0,,,
,construction_tools_house_garden,reseller,cat,online_medium,4e4e70d504b4c0006c8287dedc99d0fc,fdb16d3cbbeb5798f2f66c4096be026d,f7a0d94e966c5665355a182d5b199fcf,4ef15afb4b2723d8f3d81e51ec7afefe,2/28/2018 8:42:14 PM,"February 28, 2018",February 2018,2018,0,,,
,construction_tools_house_garden,reseller,cat,online_big,408a9c4a79800232ac656249af3162eb,de63de0d10a6012430098db33c679b0b,b566ab0ef88016e00422755e305103c6,d3d1e91a157ea7f90548eef82f1955e3,2/23/2018 2:54:40 PM,"February 23, 2018",February 2018,2018,0,,,
