First Contact Date,First Contact Date1,First Contact Month,First Contact Year,Landing Page Id,Mql Id (Marketing Qualified Leads),Origin
2/1/2018 1:00:00 AM,"February 1, 2018",February 2018,2018,88740e65d5d6b056e0cda098e1ea6313,dac32acd4db4c29c230538b72f8dd87d,social
10/20/2017 2:00:00 AM,"October 20, 2017",October 2017,2017,007f9098284a86ee80ddeb25d53e0af8,8c18d1de7f67e60dbd64e3c07d7e9d5d,paid_search
3/22/2018 1:00:00 AM,"March 22, 2018",March 2018,2018,a7982125ff7aa3b2054c6e44f9d28522,b4bc852d233dfefc5131f593b538befa,organic_search
1/22/2018 1:00:00 AM,"January 22, 2018",January 2018,2018,d45d558f0daeecf3cccdffe3c59684aa,6be030b81c75970747525b843c1ef4f8,email
2/21/2018 1:00:00 AM,"February 21, 2018",February 2018,2018,b48ec5f3b04e9068441002a19df93c6c,5420aad7fec3549a85876ba1c529bd84,organic_search
1/14/2018 1:00:00 AM,"January 14, 2018",January 2018,2018,22c29808c4f815213303f8933030604c,28bdfd5f057764b54c38770f95c69f2f,organic_search
5/15/2018 2:00:00 AM,"May 15, 2018",May 2018,2018,6a110e795dd487f1cf8d7583671987af,126a0d10becbaafcb2e72ce6848cf32c,email
5/24/2018 2:00:00 AM,"May 24, 2018",May 2018,2018,d51b0d02f063ba1d053db6d97226eec3,f76136f54d14a3345951f25b7932366b,email
11/10/2017 1:00:00 AM,"November 10, 2017",November 2017,2017,aeac92c0f5ae22a04ed3b746cce3a1b6,2f838cade4a6012a6cb1016d1d8d95ed,organic_search
12/25/2017 1:00:00 AM,"December 25, 2017",December 2017,2017,88740e65d5d6b056e0cda098e1ea6313,7281942387a1a0c3f72a50a8b0bb0920,social
1/24/2018 1:00:00 AM,"January 24, 2018",January 2018,2018,f017be4dbf86243af5c1ebed0cff36a2,c534e2f89539e866011e1e75adfefbfb,unknown
4/30/2018 2:00:00 AM,"April 30, 2018",April 2018,2018,35c9b150ab36fe584c1f24fd458c453a,c3764ab3fed8fbf556c87fdeaea744a9,paid_search
4/4/2018 2:00:00 AM,"April 4, 2018",April 2018,2018,2f08471dfb83baef522f952438a36f6e,a555fb36b9368110ede0f043dfc3b9a0,referral
5/23/2018 2:00:00 AM,"May 23, 2018",May 2018,2018,73f31a40697cc90a86c1273563ac230e,988c9372560f30a5f28f92640bb2b3da,organic_search
4/3/2018 2:00:00 AM,"April 3, 2018",April 2018,2018,1ceb590cd1e00c7ee95220971f82693d,327174d3648a2d047e8940d7d15204ca,organic_search
12/8/2017 1:00:00 AM,"December 8, 2017",December 2017,2017,bdaeb752e5c3caa215ebe04c61e22325,a5448d7164426cc7f3260a7b2001e3e6,paid_search
