Product Category Name,Product Id (Products),Product Description Length,Product Height Cm,Product Length Cm,Product Name Length,Product Photos Qty,Product Weight G,Product Width Cm
perfumaria,1e9e8ef04dbcff4541ed26657ea517e5,287,10,16,40,1,225,14
artes,3aa071139cb16b67ca9e5dea641aaa2f,276,18,30,44,1,1000,20
esporte_lazer,96bd76ec8810374ed1b65e291975717f,250,9,18,46,1,154,15
bebes,cef67bcfe19066a932b7673e239eb23d,261,4,26,27,1,371,26
utilidades_domesticas,9dc1a7de274444849c219cff195d0b71,402,17,20,37,4,625,13
instrumentos_musicais,41d3672d4792049fa1779bb35283ed13,745,5,38,60,1,200,11
cool_stuff,732bd381ad09e530fe0a5f457d81becb,1272,24,70,56,4,18350,44
moveis_decoracao,2548af3e6e77a690cf3eb6368e9ab61e,184,8,40,56,2,900,40
eletrodomesticos,37cc742be07708b53a98702e77a21a02,163,13,27,57,1,400,17
brinquedos,8c92109888e8cdf9d66dc7e463025574,1156,10,17,36,1,600,12
cama_mesa_banho,14aa47b7fe5c25522b47b4b29c98dcb9,630,10,16,54,1,1100,16
bebes,03b63c5fc16691530586ae020c345514,728,19,50,49,4,7150,45
instrumentos_musicais,cf55509ea8edaaac1d28fdb16e48fc22,1827,7,17,43,3,250,17
moveis_decoracao,7bb6f29c2be57716194f96496660c7c2,2083,11,68,51,2,600,13
construcao_ferramentas_seguranca,eb31436580a610f202c859463d8c7415,1602,7,17,59,4,200,17
esporte_lazer,3bb7f144022e6732727d8d838a7b13b3,3021,2,16,22,1,800,11
perfumaria,6a2fb4dd53d2cdb88e0432f1284a004c,346,5,27,39,2,400,20
informatica_acessorios,a1b71017a84f92fd8da4aeefba108a24,636,15,40,59,1,900,20
moveis_decoracao,a0736b92e52f6cead290e30b578413b6,296,7,100,56,2,1700,15
cama_mesa_banho,f53103a77d9cf245e579ea37e5ec51f0,206,10,16,52,1,500,16
moveis_decoracao,1c1890ba1779090cd54008a3c3302921,158,24,29,27,4,2550,45
cama_mesa_banho,518ef5de2c2b3a255e326a4594ba15d9,329,8,36,27,2,800,16
beleza_saude,e3e020af31d4d89d2602272b315c3f6e,1987,7,21,58,3,75,13
bebes,8b41fbc2b984a12030090112324d1bc4,1627,13,20,55,1,500,13
moveis_decoracao,d03bd02af9fff4b98f1c972315e5e9ef,209,10,40,56,1,1800,30
utilidades_domesticas,8ba4f2a4ae695d26e5626c1bf710975e,968,5,50,52,1,900,50
malas_acessorios,f6574524b07d5bb753bab6f35abe2d06,573,25,35,52,5,3600,50
informatica_acessorios,c78b767da00efb70c1bcccab87c28cd5,1101,2,42,35,2,300,30
informatica_acessorios,a0253d43394dd4da9a5d7b1f546f1a32,1890,13,23,59,2,740,13
esporte_lazer,051b9ff13dd55c0a6655a15ff296f80d,529,23,62,50,2,3600,23
cama_mesa_banho,47859fca9dd7485cbd93c3e8993bb74f,206,10,16,45,1,650,16
ferramentas_jardim,e1d1d22e9f8122a4ec1533b032c12562,1163,8,70,49,9,2150,34
moveis_decoracao,20e37962088a4061d3578def47a8648b,208,10,40,60,1,800,34
moveis_escritorio,1eba879220bd0981a0e2fbab499ed4e1,476,51,52,57,1,8950,17
esporte_lazer,ce5b91848b91118daffb3af53b747475,699,9,34,50,4,1388,31
bebes,5370b82a213393979691c98074265584,708,30,33,52,9,7950,44
automotivo,b8dac5113b06a97e64943234522572b9,1062,3,87,43,2,6000,42
eletronicos,750cf819d127191920eda79a4b6fb479,806,12,18,31,1,263,16
utilidades_domesticas,e6af694343b45b56304ad91974a110b9,352,20,19,37,1,3900,15
moveis_decoracao,680874c570dad71c0a2844cfbf417054,502,25,25,47,1,600,25
moveis_decoracao,8b3a9476f74f5297f7ff0ec6d95fe1ea,254,13,49,63,2,2050,41
brinquedos,1c6fb703c624b381a20f21f757694866,471,17,22,33,2,725,15
cama_mesa_banho,db46052aed7dff59ba38cf2fe29b87f9,509,15,45,56,4,6350,35
bebes,b864b103180d5a6a3f830e67f93e8735,980,11,70,47,4,600,11
cool_stuff,7a8dac4aaa16bc642e4df33adcf03303,1701,40,18,38,2,11750,79
brinquedos,83b9bc6aae6f527ff6aafb9e01d6cbf3,866,32,22,20,3,2550,38
cool_stuff,5f504b3a1c75b73d6151be81eb05bdc9,1176,40,47,38,3,15350,47
moveis_decoracao,bbf920aa6ac72007a726e6f419156f8f,303,16,25,42,2,1300,25
moveis_decoracao,c3b7e4d83e530c27a8e6368296aece48,1972,11,69,60,2,850,11
beleza_saude,c5d8079278e912d7e3b6beb48ecb56e8,330,28,19,60,1,1300,17
esporte_lazer,5eaa343860dc445b3fd43d1b682809fd,3218,30,60,53,5,4800,15
cool_stuff,b5cfb1d3c5e435a7a52227e08f220ee7,410,16,36,55,2,1300,24
automotivo,334479e94cba98064050db1c9636e244,311,14,18,57,1,220,17
bebes,3fcd8dfe610c62edfb51de2630cd9ef4,509,17,41,50,4,5700,49
malas_acessorios,4c8056caed5757810b9a68b83c3759e6,1291,40,20,53,2,450,30
fashion_calcados,30e77af9e7759bbaa0305d2fbc605dc4,402,12,32,60,2,2000,37
telefonia,92bf5d2084dfbcb57d9db7838bac5cd0,427,3,19,51,2,100,11
cool_stuff,fdeb34a9f03fea7c3937dd62d1d0287e,1252,20,30,58,1,1100,23
papelaria,1065dbb6b0bf03daaedab1236979e296,488,40,38,49,3,1400,39
brinquedos,0d826eba8e0a2ae3bca9e3a947dd756d,423,14,20,50,4,250,12
esporte_lazer,f8f6fd145cc00519283cf3100477b2b3,956,20,25,47,1,1050,14
papelaria,4e04ffb7dd3739ecfc37de8927dd586c,144,7,24,59,1,500,16
beleza_saude,36555a2f528d7b2a255c504191445d39,1069,16,23,51,1,1467,20
fashion_bolsas_e_acessorios,22937a73f92a33040ab4e2540355a5d8,554,5,16,50,3,100,11
papelaria,dc21247da0290904ffbbcd5953c76f95,92,5,16,41,1,100,16
papelaria,9020ce7adcc384b2899ae87ddc54767b,198,7,23,43,2,300,15
esporte_lazer,bfc1d1c62b1f7f401d8d9dda962bb870,255,15,60,50,2,950,15
ferramentas_jardim,6fef6d87bb6c2eb11d57a967209219a8,200,3,17,33,1,250,11
pcs,1e5428c428e0f783acd6e3d94ba4ee2a,1067,50,27,55,1,12000,53
automotivo,94080f9219044d897195e2be145945dc,1543,9,17,60,6,921,16
casa_construcao,d0389f20b3d11de54e1e4561df147683,1441,25,60,55,1,10000,25
relogios_presentes,3e9b58f1436820c248d3f98d7229bb14,489,11,16,56,2,250,11
cool_stuff,575c38b4c88fc7b35ef22fc8312bfe1b,992,20,44,57,3,1200,20
